Email,Label
"Congratulations! You have won a lottery. Click here to claim your prize.","phishing"
"Dear customer, verify your bank account immediately.","phishing"
"Your PayPal account has been suspended. Login now.","phishing"
"Urgent! Update your password by clicking this link.","phishing"
"You have received a free iPhone. Claim now!","phishing"
"Your package delivery failed. Verify your address.","phishing"
"Bank alert! Confirm your account details immediately.","phishing"
"Click here to receive your tax refund.","phishing"
"Your email storage is full. Upgrade your account now.","phishing"
"Security warning! Login to secure your account.","phishing"
"Meeting is scheduled tomorrow at 10 AM.","safe"
"Please submit your assignment before Friday.","safe"
"Happy Birthday! Have a wonderful day.","safe"
"The project report has been approved.","safe"
"Let's have lunch together tomorrow.","safe"
"Your interview is scheduled for Monday.","safe"
"The class will begin at 9:30 AM.","safe"
"Thank you for your purchase.","safe"
"Please find the attached meeting agenda.","safe"
"Your order has been shipped successfully.","safe"
"Reminder: Team meeting at 3 PM today.","safe"
"Your electricity bill has been generated.","safe"
"Welcome to our company. We are glad to have you.","safe"
"Please review the attached document.","safe"
"The seminar has been postponed until next week.","safe"
"Congratulations on completing your internship.","safe"
"Click here to update your payment information immediately.","phishing"
"Your account will be blocked unless you verify it.","phishing"
"Win ₹10,00,000 now! Click the link below.","phishing"
"Reset your password immediately to avoid suspension.","phishing"
